    92/599    0.491G   0.05206   0.01695         0   0.03196  0.006505    0.1075        46       224    0.8187    0.6539    0.7112    0.2914   0.04782  0.009533         0
    93/599    0.491G   0.05246   0.01668         0   0.03193  0.006499    0.1076        59       224    0.8046    0.7176    0.7372    0.3011   0.04628   0.01043         0
    94/599    0.491G   0.05196   0.01685         0   0.03195  0.006592    0.1073        48       224    0.7647     0.673    0.6937    0.2755   0.05104  0.009574         0
    95/599    0.491G   0.05152   0.01697         0   0.03169  0.006723    0.1069        52       224    0.7931    0.6835    0.7112    0.2561   0.04657   0.01022         0
    96/599    0.491G   0.05151   0.01666         0   0.03133  0.006604    0.1061        55       224    0.7149    0.7452    0.6556    0.2393   0.04805  0.009939         0
    97/599    0.491G   0.05117   0.01689         0   0.03178  0.006348    0.1062        61       224    0.8335    0.7439    0.7671    0.3372   0.04624  0.009594         0
    98/599    0.491G   0.05189   0.01687         0   0.03223  0.006464    0.1075        48       224    0.7827     0.696    0.7181    0.3003   0.04533   0.01003         0
    99/599    0.491G   0.05136   0.01681         0   0.03157  0.006673    0.1064        56       224    0.7971    0.7367    0.7725    0.3274   0.04645   0.01002         0
   100/599    0.491G   0.05241   0.01695         0   0.03174  0.006495    0.1076        60       224    0.8023    0.7323    0.7552    0.3159    0.0478  0.009736         0
   101/599    0.491G    0.0508   0.01682         0   0.03166  0.006688     0.106        69       224    0.7709    0.7452    0.7386    0.2909    0.0453   0.00954         0
   102/599    0.491G   0.05153   0.01681         0   0.03139   0.00679    0.1065        54       224    0.7176     0.741    0.7265    0.3254    0.0455   0.01009         0
   103/599    0.491G   0.05165   0.01695         0   0.03172  0.006512    0.1068        48       224    0.8106    0.7452    0.7662    0.3212   0.04619  0.009792         0
   104/599    0.491G   0.05106   0.01653         0   0.03125  0.006618    0.1055        52       224    0.8319    0.6837    0.7385    0.2889   0.04603   0.01013         0
   105/599    0.491G   0.05088   0.01669         0    0.0308  0.006535    0.1049        55       224    0.7789    0.7255    0.7433    0.2862   0.04709  0.009435         0
   106/599    0.491G   0.05175   0.01662         0   0.03158  0.006521    0.1065        52       224    0.7582    0.7323    0.7526    0.3259    0.0454  0.009597         0
   107/599    0.491G   0.05123    0.0168         0   0.03146   0.00638    0.1059        60       224    0.7912    0.7802     0.788    0.3335   0.04473  0.009865         0
   108/599    0.491G   0.05122   0.01696         0   0.03131  0.006513     0.106        46       224    0.8357    0.7176    0.7598    0.3168   0.04534  0.009593         0
   109/599    0.491G   0.05093   0.01686         0   0.03105  0.006513    0.1053        54       224    0.7613    0.7044    0.6876    0.2309   0.04836   0.01018         0
   110/599    0.491G   0.05065   0.01673         0   0.03097  0.006564    0.1049        57       224    0.7825    0.7346    0.7532    0.3298   0.04502   0.00986         0
   111/599    0.491G   0.05098   0.01672         0    0.0312   0.00675    0.1056        43       224    0.8182    0.7006    0.7404    0.3297   0.04508  0.009509         0
   112/599    0.491G   0.05098   0.01642         0   0.03161  0.006557    0.1056        52       224    0.7709     0.758    0.7401    0.3034   0.04499  0.009721         0
   113/599    0.491G   0.05109   0.01673         0   0.03153  0.006557    0.1059        58       224     0.768    0.6837     0.712    0.3114   0.04421    0.0102         0
   114/599    0.491G   0.05092   0.01671         0   0.03167  0.006566    0.1059        59       224    0.8158    0.7239    0.7645    0.3418   0.04415  0.009816         0
   115/599    0.491G   0.05063   0.01666         0    0.0306  0.006334    0.1042        52       224    0.8545    0.6856    0.7746    0.3404   0.04455  0.009832         0
   116/599    0.491G   0.05141   0.01589         0   0.03178  0.006793    0.1059        65       224     0.808    0.7155    0.7598    0.3158   0.04466  0.009667         0
   117/599    0.491G   0.05105   0.01669         0   0.03103  0.006446    0.1052        60       224    0.8455    0.7321    0.7844    0.3647    0.0439  0.009522         0
   118/599    0.491G   0.05084   0.01635         0   0.03148  0.006493    0.1052        39       224    0.8437    0.7452    0.7978    0.3387   0.04398  0.009578         0
   119/599    0.491G   0.05065   0.01649         0    0.0304  0.006322    0.1039        56       224    0.8141    0.7345    0.7921    0.3466   0.04425  0.009557         0
   120/599    0.491G    0.0506   0.01642         0   0.03087  0.006517    0.1044        52       224    0.7255    0.7408     0.705    0.2838   0.04583   0.01015         0
   121/599    0.491G   0.05059   0.01649         0   0.03029  0.006556    0.1039        56       224    0.8267    0.7599    0.7958    0.3829   0.04315   0.00969         0
   122/599    0.491G   0.05034    0.0164         0    0.0307  0.006518     0.104        43       224    0.8528    0.7381     0.793    0.3355   0.04471  0.009629         0
   123/599    0.491G   0.05062   0.01663         0   0.02994  0.006555    0.1037        53       224    0.8236    0.7534    0.7816     0.339   0.04401  0.009426         0
   124/599    0.491G   0.04989   0.01618         0    0.0302  0.006644    0.1029        51       224     0.819     0.741    0.7913    0.3518   0.04383   0.00974         0
   125/599    0.491G   0.05063   0.01652         0   0.03068  0.006431    0.1043        46       224     0.815    0.7219    0.7687    0.3437   0.04559  0.009479         0
   126/599    0.491G    0.0505   0.01624         0   0.03036  0.006383    0.1035        57       224    0.8173    0.7408    0.7887    0.3597   0.04402   0.00953         0
   127/599    0.491G   0.05009    0.0163         0   0.03084  0.006485    0.1037        53       224    0.8152    0.7492    0.7751    0.3366   0.04478  0.009447         0
   128/599    0.491G   0.05058   0.01628         0   0.02994  0.006372    0.1032        64       224    0.8078    0.7404    0.7808    0.3383   0.04471  0.009653         0
   129/599    0.491G   0.04997   0.01639         0   0.02984  0.006535    0.1027        62       224    0.8506    0.7155      0.79    0.3579   0.04455  0.009551         0
   130/599    0.491G   0.05032   0.01662         0   0.03106   0.00652    0.1045        54       224    0.8273    0.7452    0.7862    0.3477   0.04421  0.009562         0
   131/599    0.491G   0.05002   0.01679         0   0.02964  0.006353    0.1028        53       224     0.846    0.7282    0.7801    0.3095    0.0457  0.009284         0
   132/599    0.491G   0.05043   0.01653         0   0.03058  0.006317    0.1039        61       224    0.8486     0.726     0.783    0.3289    0.0439  0.009585         0
   133/599    0.491G   0.04976   0.01633         0   0.03016  0.006175    0.1024        52       224    0.8482    0.7239    0.7914      0.36   0.04345   0.00937         0
   134/599    0.491G   0.04938    0.0167         0   0.03035  0.006178    0.1026        48       224     0.806    0.7346    0.7829    0.3618   0.04416   0.00948         0
   135/599    0.491G   0.04953   0.01649         0   0.02998  0.006436    0.1024        72       224    0.8458    0.7219    0.7696    0.3362   0.04451  0.009553         0
   136/599    0.491G   0.05021   0.01644         0   0.02998   0.00647    0.1031        56       224    0.8805    0.7049    0.7966    0.3618   0.04337  0.009244         0
   137/599    0.491G   0.04988   0.01597         0   0.03079  0.006282    0.1029        52       224    0.8372    0.7113    0.7639     0.336   0.04405  0.009935         0
   138/599    0.491G    0.0498   0.01654         0   0.03076  0.006415    0.1035        57       224    0.8529    0.7304     0.789    0.3527   0.04363  0.009553         0
   139/599    0.491G   0.05001    0.0162         0   0.02995  0.006314    0.1025        52       224     0.841    0.7091     0.798    0.3637   0.04469  0.009419         0
   140/599    0.491G   0.04991   0.01628         0   0.02968  0.006255    0.1021        63       224    0.8109    0.7197    0.7658    0.3628   0.04363  0.009415         0
   141/599    0.491G   0.04986   0.01667         0   0.03005  0.006458     0.103        59       224    0.8499     0.758    0.8005    0.3533    0.0438  0.009413         0
   142/599    0.491G   0.05056   0.01648         0   0.03085  0.006463    0.1043        73       224    0.8162    0.7448    0.7739    0.3305   0.04476   0.00946         0
   143/599    0.491G    0.0499   0.01635         0   0.02999  0.006513    0.1028        53       224    0.7785    0.7389    0.7562    0.3113   0.04409  0.009623         0
